STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 15:00,80
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 16:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 17:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 21:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130528 09:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130529 11:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130530 20:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130530 21:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130530 23:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130531 00:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130531 01:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130531 06:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130601 01:00,99999
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120701 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120714 05:00,80
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120726 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120727 06:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120801 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120804 15:00,60
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120812 23:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120813 00:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120816 08:00,60
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120816 09:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120816 11:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 08:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 09:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 10:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 12:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 13:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 14:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 16:00,150
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 18:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120826 19:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120831 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 00:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 04:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 06:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 07:00,40
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 08:00,50
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 09:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 10:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 11:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 16:00,90
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120901 17:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120902 00:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120902 01:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120905 08:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120907 08:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120907 09:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120907 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120913 15:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120913 17:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120913 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120913 22:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20120917 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121001 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121004 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121004 19:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121009 21:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121009 22:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121013 10:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121013 11:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121013 12:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121013 22:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121014 01:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121014 02:00,50
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121014 03:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121014 04:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121014 10:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121017 15:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121017 17:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121017 18:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121017 19:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121017 20:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121018 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121019 19:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121019 21:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121022 09:00,40
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121025 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121025 19:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121101 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121106 12:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121106 14:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121110 13:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121111 16:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121111 19:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121111 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121111 21:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121111 22:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121120 12:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121201 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121207 03:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121208 01:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121209 09:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121209 23:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121213 01:00,99999
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121215 00:00,99999
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121215 05:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121215 07:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121215 08:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121219 23:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121220 00:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121220 10:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20121220 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130101 01:00,0
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130110 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130110 21:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130110 22:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130111 00:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130111 01:00,40
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130111 02:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130112 23:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130117 11:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130127 15:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130127 22:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 14:00,40
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 16:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 17:00,30
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 18:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 19:00,20
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 20:00,10
COOP:119816,YATES CITY IL US,205.7,40.7763,-90.0203,20130129 21:00,10
